epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 10.426682692307692 11.107772435897436
1 34.118589743589745 34.24278846153846 38.86217948717949 39.22275641025641
2 41.79086538461539 42.15144230769231 45.63301282051282 45.65304487179487
3 44.21474358974359 45.1943108974359 45.51282051282051 47.38581730769231
4 45.96754807692308 46.92307692307692 47.50600961538461 48.537660256410255
5 47.18349358974359 47.7724358974359 47.526041666666664 46.85496794871795
6 48.56570512820513 48.65584935897436 49.348958333333336 49.87980769230769
7 49.0244391025641 49.30689102564103 48.517628205128204 48.07692307692308
8 49.31089743589744 49.39102564102564 51.091746794871796 52.473958333333336
9 49.41105769230769 49.553285256410255 51.01161858974359 50.84134615384615
10 49.899839743589745 50.04807692307692 52.78445512820513 52.443910256410255
11 50.32251602564103 50.48076923076923 53.37540064102564 53.32532051282051
12 50.725160256410255 50.79326923076923 51.14182692307692 52.02323717948718
13 51.27804487179487 51.12379807692308 49.2588141025641 49.6494391025641
14 51.23197115384615 51.452323717948715 52.27363782051282 50.911458333333336
15 51.42027243589744 51.44230769230769 52.22355769230769 50.71113782051282
16 51.75480769230769 51.71073717948718 52.053285256410255 51.26201923076923
17 52.08133012820513 51.672676282051285 53.24519230769231 52.654246794871796
18 52.09935897435897 52.07532051282051 54.11658653846154 53.33533653846154
19 52.47596153846154 52.4599358974359 54.15665064102564 54.50721153846154
20 48.07692307692308 48.125 52.423878205128204 51.9130608974359
21 48.92628205128205 48.752003205128204 50.15024038461539 50.19030448717949
22 50.09815705128205 49.817708333333336 49.348958333333336 48.127003205128204
23 50.19030448717949 50.11217948717949 48.48758012820513 48.79807692307692
24 50.87540064102564 50.71314102564103 49.709535256410255 51.98317307692308
25 50.729166666666664 50.671073717948715 50.72115384615385 50.62099358974359
26 51.61258012820513 51.41225961538461 53.5556891025641 52.33373397435897
27 51.774839743589745 51.82692307692308 52.834535256410255 51.61258012820513
28 51.540464743589745 51.7588141025641 49.00841346153846 47.946714743589745
29 51.66065705128205 51.34014423076923 53.9463141025641 53.65584935897436
30 51.774839743589745 51.44030448717949 53.63581730769231 52.51402243589744
31 51.9931891025641 52.07932692307692 51.452323717948715 53.33533653846154
32 52.15945512820513 52.25761217948718 54.6875 55.58894230769231
33 52.53405448717949 52.43790064102564 53.69591346153846 52.233573717948715
34 52.497996794871796 52.48597756410256 51.86298076923077 53.46554487179487
35 51.98317307692308 51.80288461538461 49.75961538461539 51.61258012820513
36 52.15144230769231 52.23157051282051 50.36057692307692 51.36217948717949
37 52.07532051282051 52.40384615384615 50.79126602564103 51.432291666666664
38 52.51802884615385 52.80649038461539 50.21033653846154 49.78966346153846
39 52.61418269230769 52.522035256410255 52.37379807692308 53.18509615384615
40 52.36378205128205 52.45793269230769 52.91466346153846 52.72435897435897
41 52.786458333333336 52.59815705128205 53.76602564102564 53.07491987179487
42 52.42788461538461 52.4619391025641 53.52564102564103 53.806089743589745
43 52.578125 52.72435897435897 51.88301282051282 51.38221153846154
44 52.87860576923077 52.70432692307692 52.12339743589744 52.41386217948718
45 53.02884615384615 52.97876602564103 49.77964743589744 50.34054487179487
46 52.83253205128205 52.892628205128204 52.083333333333336 52.90464743589744
47 52.97275641025641 52.946714743589745 52.39383012820513 53.49559294871795
48 53.37339743589744 53.40745192307692 53.5556891025641 52.48397435897436
49 53.01682692307692 53.024839743589745 53.32532051282051 53.625801282051285
50 53.27323717948718 53.11298076923077 50.85136217948718 50.58092948717949
51 53.37740384615385 53.50160256410256 53.826121794871796 53.826121794871796
52 53.40945512820513 53.31730769230769 54.47716346153846 53.31530448717949
53 53.52163461538461 53.60977564102564 51.462339743589745 53.49559294871795
54 53.26322115384615 53.26522435897436 51.70272435897436 52.98477564102564
epoch train_acc1 train_acc2 test_acc1 test_acc2
0 0 0 10.426682692307692 11.107772435897436
1 22.56610576923077 21.806891025641026 41.70673076923077 40.21434294871795
2 28.515625 27.790464743589745 47.365785256410255 47.63621794871795
3 30.53886217948718 30.490785256410255 48.147035256410255 48.98838141025641
4 31.596554487179485 31.838942307692307 50.21033653846154 49.689503205128204
5 33.13301282051282 32.75440705128205 51.51241987179487 52.16346153846154
6 33.81810897435897 33.669871794871796 54.407051282051285 52.96474358974359
7 34.49519230769231 34.36698717948718 54.967948717948715 55.79927884615385
8 34.98197115384615 34.85977564102564 54.23677884615385 53.225160256410255
9 35.46073717948718 35.14423076923077 56.32011217948718 55.97956730769231
10 36.15584935897436 36.41426282051282 56.49038461538461 56.22996794871795
